"Clé de ticket","Résumé","Création","Durée(mn)"
"OBCS-2114","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","0.46"
"OBCS-2115","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:59","3.3"
"OBCS-2116","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:59","5.5"
"OBCS-2120","Assistance - Explication en ligne - Chef de Projet","19/juin/24 09:59","2.3"
"OBCS-2129","Autres - Explication en ligne - Comptable","19/juin/24 09:59","5"
"OBCS-2130","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","7.56"
"OBCS-2131","Autres - Explication en ligne - Chef de Projet","19/juin/24 09:59","1.46"
"OBCS-2132","Autres - Explication en ligne - Responsable RH","19/juin/24 09:59","1.25"
"OBCS-2133","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","4.34"
"OBCS-2148","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","30.49"
"OBCS-2149","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:59","32.32"
"OBCS-2155","Autres - Explication en ligne - Comptable","19/juin/24 09:59","2.44"
"OBCS-2156","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","0.57"
"OBCS-2172","Autres - Explication en ligne - Assistant(e) Comptable","19/juin/24 09:59","1.17"
"OBCS-2173","Autres - Autres (Précisez dans la description) - Directeur des Ressources Humaines","19/juin/24 09:59","0.38"
"OBCS-2174","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","1.1"
"OBCS-2180","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:59","1.23"
"OBCS-2187","Autres - Explication en ligne - Comptable","19/juin/24 10:00","1.41"
"OBCS-2194","Relance sur Bug en cours - Redirection vers ressources OBC - Comptable","19/juin/24 10:00","1.43"
"OBCS-2195","Assistance - Explication en ligne - Assistant(e) RH","19/juin/24 10:00","3"
"OBCS-2196","Relance sur Requête en cours - Explication en ligne - Assistant(e) RH","19/juin/24 10:00","3.13"
"OBCS-2197","Assistance - Explication en ligne - Assistant(e) RH","19/juin/24 10:00","1.47"
"OBCS-2198","Assistance - Explication en ligne - Chef de Projet","19/juin/24 10:00","1.47"
"OBCS-2204","Assistance - Explication en ligne - Comptable","19/juin/24 10:00","13"
"OBCS-2214","Assistance - Explication en ligne - RESPONSABLE LOGISTIQUE","19/juin/24 10:00","29.17"
"OBCS-2215","Assistance - Explication en ligne - Comptable","19/juin/24 10:00","1.55"
"OBCS-2216","Autres - Explication en ligne - Comptable","19/juin/24 10:00","2.45"
"OBCS-2217","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 10:00","1.27"
"OBCS-2218","Assistance - Explication en ligne - Comptable","19/juin/24 10:00","3.9"
"OBCS-2226","Autres - Explication en ligne - Comptable","19/juin/24 10:00","2.26"
"OBCS-2227","Assistance - Explication en ligne - Comptable","19/juin/24 10:00","0.31"
"OBCS-2228","Assistance - Explication en ligne - Comptable","19/juin/24 10:00","1.51"
"OBCS-2242","Assistance - Explication en ligne - Comptable","19/juin/24 10:00","2.2"
"OBCS-2243","Assistance - Explication en ligne - Chef de Projet","19/juin/24 10:00","6"
"OBCS-2244","Relance sur Bug en cours - Explication en ligne - Chef de Projet","19/juin/24 10:00","0.52"
"OBCS-2245","Relance sur Requête en cours - Explication en ligne - Chef de Projet","19/juin/24 10:00","0.47"
"OBCS-2247","Assistance - Redirection vers ressources OBC - Chef de Projet","19/juin/24 10:00","0.49"
"OBCS-2248","Assistance - Explication en ligne - Comptable","19/juin/24 10:00","1.58"
"OBCS-2249","Autres - Explication en ligne - Comptable","19/juin/24 10:00","0.28"
"OBCS-2251","Autres - Explication en ligne - Comptable","19/juin/24 10:00","11.3"
"OBCS-2252","Autres - Explication en ligne - Chef de Projet","19/juin/24 10:01","0.3"
"OBCS-2253","Assistance - Explication en ligne - Chef de Projet","19/juin/24 10:01","3.12"
"OBCS-2277","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:01","1.9"
"OBCS-2278","Assistance - Autres (Précisez dans la description) - Comptable","19/juin/24 10:01","2"
"OBCS-2280","Assistance - Explication en ligne - Comptable","19/juin/24 10:01","2.26"
"OBCS-2282","Autres - Explication en ligne - Comptable","19/juin/24 10:01","0.56"
"OBCS-2301","Relance sur Requête en cours - Autres (Précisez dans la description) - Comptable","19/juin/24 10:01","1.35"
"OBCS-2302","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 10:01","1.52"
"OBCS-2303","Relance sur Requête en cours - Explication en ligne - Assistant(e) RH","19/juin/24 10:01","1.5"
"OBCS-2304","Relance sur Requête en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:01","0.48"
"OBCS-2305","Relance sur Requête en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:01","2.57"
"OBCS-2306","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:01","0.23"
"OBCS-2307","Autres - Explication en ligne - Comptable","19/juin/24 10:01","2.5"
"OBCS-2308","Assistance - Explication en ligne - Comptable","19/juin/24 10:01","31.1"
"OBCS-2318","Assistance - Explication en ligne - Comptable","19/juin/24 10:01","0.36"
"OBCS-2319","Assistance - Explication en ligne - Comptable","19/juin/24 10:01","0.49"
"OBCS-2321","Assistance - Explication en ligne - Comptable","19/juin/24 10:01","0.43"
"OBCS-2322","Assistance - Explication en ligne - Comptable","19/juin/24 10:01","1.35"
"OBCS-2324","Assistance - Explication en ligne - Comptable","19/juin/24 10:01","1.2"
"OBCS-2343","Assistance - Explication en ligne - Comptable","19/juin/24 10:02","10.58"
"OBCS-2344","Assistance - Explication en ligne - Comptable","19/juin/24 10:02","1.7"
"OBCS-2345","Autres - Explication en ligne - Comptable","19/juin/24 10:02","1.25"
"OBCS-2346","Autres - Explication en ligne - Chef de Projet","19/juin/24 10:02","2.8"
"OBCS-2354","Assistance - Explication en ligne - Comptable","19/juin/24 10:02","3.25"
"OBCS-2355","Assistance - Explication en ligne - Comptable","19/juin/24 10:02","5.53"
"OBCS-2356","Autres - Explication en ligne - Chef de Projet","19/juin/24 10:02","1.11"
"OBCS-2357","Assistance - Redirection vers ressources OBC - Comptable","19/juin/24 10:02","2"
"OBCS-2359","Autres - Explication en ligne - Chef de Projet","19/juin/24 10:02","0.37"
"OBCS-2375","Autres - Explication en ligne - Comptable","19/juin/24 10:02","1.2"
"OBCS-2376","Autres - Explication en ligne - Comptable","19/juin/24 10:02","1.45"
"OBCS-2377","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:02","0.28"
"OBCS-2378","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:02","2.46"
"OBCS-2417","Autres - Explication en ligne - Comptable","19/juin/24 10:03","0.28"
"OBCS-2418","Assistance - Explication en ligne - Comptable","19/juin/24 10:03","1.38"
"OBCS-2419","Autres - Explication en ligne - Comptable","19/juin/24 10:03","0.27"
"OBCS-2420","Autres - Explication en ligne - Comptable","19/juin/24 10:03","5.26"
