OD,Client(s),Normalized
"OD-2796","ECORIGINE","ECORIGINE"
"OD-2794","ALL","ALL"
"OD-2793","ARIC","ARIC"
"OD-2792","SERTEM","SERTEM"
"OD-2791","ALL","ALL"
"OD-2790","ONPOINT","ONPOINT"
"OD-2789","ONPOINT","ONPOINT"
"OD-2788","FIRST CAPITAL","FIRST CAPITAL"
"OD-2787","ALL","ALL"
"OD-2786","ALL","ALL"
"OD-2784","ALL","ALL"
"OD-2783","S-TEL","S-TEL"
"OD-2782","ARIC","ARIC"
"OD-2781","ARIC","ARIC"
"OD-2778","ARIC","ARIC"
"OD-2777","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2776","2AAZ","2AAZ"
"OD-2775","ONPOINT","ONPOINT"
"OD-2774","ALL","ALL"
"OD-2773","KORI TRANSPORT","KORI TRANSPORT"
"OD-2772","SIT BTP","SIT BTP"
"OD-2771","ALL","ALL"
"OD-2770","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2768","CILAGRI","CILAGRI"
"OD-2767","SIS","SIS"
"OD-2766","EDIPRESSE","EDIPRESSE"
"OD-2765","ALL","ALL"
"OD-2764","ONPOINT","ONPOINT"
"OD-2762","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2761","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2748","ONPOINT","ONPOINT"
"OD-2745","FALCON","FALCON"
"OD-2737","ONPOINT","ONPOINT"
"OD-2733","ONPOINT","ONPOINT"
"OD-2732","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2728","ALL","ALL"
"OD-2725","ALL","ALL"
"OD-2724","SIT BTP","SIT BTP"
"OD-2723","ALL","ALL"
"OD-2722","ONPOINT","ONPOINT"
"OD-2716","ONPOINT","ONPOINT"
"OD-2715","ONPOINT","ONPOINT"
"OD-2714","S-TEL","S-TEL"
"OD-2712","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2711","ALL","ALL"
"OD-2710","ARIC","ARIC"
"OD-2709","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2708","SERTEM","SERTEM"
"OD-2707","ARIC","ARIC"
"OD-2706","FIRST CAPITAL","FIRST CAPITAL"
"OD-2705","ALL","ALL"
"OD-2704","ALL","ALL"
"OD-2703","ALL","ALL"
"OD-2702","ONPOINT","ONPOINT"
"OD-2701","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2700","ONPOINT","ONPOINT"
"OD-2699","ALL","ALL"
"OD-2698","ONPOINT","ONPOINT"
"OD-2697","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2696","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2695","ARIC","ARIC"
"OD-2693","SIT BTP","SIT BTP"
"OD-2692","EJARA","EJARA"
"OD-2691","ARIC","ARIC"
"OD-2690","LABOGEM","LABOGEM"
"OD-2689","LABOGEM","LABOGEM"
"OD-2688","LABOGEM","LABOGEM"
"OD-2687","ALL","ALL"
"OD-2686","ONPOINT","ONPOINT"
"OD-2685","SIT BTP","SIT BTP"
"OD-2683","ECORIGINE","ECORIGINE"
"OD-2682","ARIC","ARIC"
"OD-2681","FALCON","FALCON"
"OD-2680","KORI TRANSPORT","KORI TRANSPORT"
"OD-2679","ARIC","ARIC"
"OD-2678","ONPOINT","ONPOINT"
"OD-2677","EJARA","EJARA"
"OD-2676","MATRELEC","MATRELEC"
"OD-2675","SIT BTP","SIT BTP"
"OD-2673","ARIC","ARIC"
"OD-2672","ALL","ALL"
"OD-2671","FALCON","FALCON"
"OD-2670","ONPOINT","ONPOINT"
"OD-2669","CILAGRI","CILAGRI"
"OD-2668","CILAGRI","CILAGRI"
"OD-2666","CILAGRI","CILAGRI"
"OD-2665","CILAGRI","CILAGRI"
"OD-2664","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2663","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2661","LABOGEM","LABOGEM"
"OD-2660","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2659","ALL","ALL"
"OD-2658","CILAGRI","CILAGRI"
"OD-2657","SIT BTP","SIT BTP"
"OD-2656","ALL","ALL"
"OD-2655","ONPOINT","ONPOINT"
"OD-2654","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2653","FIRST CAPITAL","FIRST CAPITAL"
"OD-2652","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2650","ONPOINT","ONPOINT"
"OD-2649","ALL","ALL"
"OD-2648","ALL","ALL"
"OD-2647","ONPOINT","ONPOINT"
"OD-2646","ONPOINT","ONPOINT"
"OD-2645","ONPOINT","ONPOINT"
"OD-2644","ONPOINT","ONPOINT"
"OD-2643","ONPOINT","ONPOINT"
"OD-2642","ARIC","ARIC"
"OD-2641","KORI TRANSPORT","KORI TRANSPORT"
"OD-2640","KORI TRANSPORT","KORI TRANSPORT"
"OD-2639","ECORIGINE","ECORIGINE"
"OD-2637","S-TEL","S-TEL"
"OD-2636","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2635","ONPOINT","ONPOINT"
"OD-2634","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2633","SERTEM","SERTEM"
"OD-2632","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2631","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2630","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2629","EGBV","EGBV"
"OD-2627","SIT BTP","SIT BTP"
"OD-2626","ONPOINT","ONPOINT"
"OD-2625","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2624","CILAGRI","CILAGRI"
"OD-2623","ARIC","ARIC"
"OD-2622","ARIC","ARIC"
"OD-2621","ARIC","ARIC"
"OD-2620","ARIC","ARIC"
"OD-2619","ARIC","ARIC"
"OD-2618","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2617","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2616","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2615","EDIPRESSE","EDIPRESSE"
"OD-2614","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2613","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2612","ARIC","ARIC"
"OD-2611","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2608","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2607","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2606","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2605","ECORIGINE","ECORIGINE"
"OD-2604","SIT BTP","SIT BTP"
"OD-2603","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2602","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2601","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2600","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2599","SIT BTP","SIT BTP"
"OD-2598","CILAGRI","CILAGRI"
"OD-2597","CILAGRI","CILAGRI"
"OD-2596","ARIC","ARIC"
"OD-2595","FALCON","FALCON"
"OD-2593","2AAZ","2AAZ"
"OD-2592","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2591","ALL","ALL"
"OD-2590","ALL","ALL"
"OD-2589","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2588","ARIC","ARIC"
"OD-2587","CILAGRI","CILAGRI"
"OD-2585","CILAGRI","CILAGRI"
"OD-2584","CILAGRI","CILAGRI"
"OD-2583","EJARA","EJARA"
"OD-2582","S-TEL","S-TEL"
"OD-2581","ARIC","ARIC"
"OD-2580","ARIC","ARIC"
"OD-2578","ARIC","ARIC"
"OD-2577","ARIC","ARIC"
"OD-2576","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2575","ARIC","ARIC"
"OD-2574","ARIC","ARIC"
"OD-2573","2AAZ","2AAZ"
"OD-2572","CILAGRI","CILAGRI"
"OD-2571","EDIPRESSE","EDIPRESSE"
"OD-2570","CILAGRI","CILAGRI"
"OD-2569","ALL","ALL"
"OD-2568","ONPOINT","ONPOINT"
"OD-2567","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2566","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2565","AFRIC URBA","AFRIC URBA"
"OD-2564","ARIC","ARIC"
"OD-2563","ARIC","ARIC"
"OD-2562","ARIC","ARIC"
"OD-2561","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2559","EJARA","EJARA"
"OD-2558","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2557","S-TEL","S-TEL"
"OD-2556","ARIC","ARIC"
"OD-2555","ECORIGINE","ECORIGINE"
"OD-2554","ARIC","ARIC"
"OD-2553","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2552","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2551","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2550","KORI TRANSPORT","KORI TRANSPORT"
"OD-2549","ALL","ALL"
"OD-2548","ALL","ALL"
"OD-2547","CILAGRI","CILAGRI"
"OD-2546","KORI TRANSPORT","KORI TRANSPORT"
"OD-2545","ARIC","ARIC"
"OD-2544","ARIC","ARIC"
"OD-2543","ARIC","ARIC"
"OD-2542","CILAGRI","CILAGRI"
"OD-2541","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2540","ECORIGINE","ECORIGINE"
"OD-2539","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2538","ONPOINT","ONPOINT"
"OD-2537","ALL","ALL"
"OD-2536","ONPOINT","ONPOINT"
"OD-2535","EJARA","EJARA"
"OD-2533","AFRIC URBA","AFRIC URBA"
"OD-2532","ECORIGINE","ECORIGINE"
"OD-2531","ECORIGINE","ECORIGINE"
"OD-2530","ARIC","ARIC"
"OD-2529","ECORIGINE","ECORIGINE"
"OD-2528","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2527","ALL","ALL"
"OD-2526","ECORIGINE","ECORIGINE"
"OD-2525","ECORIGINE","ECORIGINE"
"OD-2524","ECORIGINE","ECORIGINE"
"OD-2523","ECORIGINE","ECORIGINE"
"OD-2522","ALL","ALL"
"OD-2521","ALL","ALL"
"OD-2520","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2519","CILAGRI","CILAGRI"
"OD-2518","ONPOINT","ONPOINT"
"OD-2517","ECORIGINE","ECORIGINE"
"OD-2516","ARIC","ARIC"
"OD-2515","EGBV","EGBV"
"OD-2514","ALL","ALL"
"OD-2513","EDIPRESSE","EDIPRESSE"
"OD-2512","ARIC","ARIC"
"OD-2511","SIT BTP","SIT BTP"
"OD-2510","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2509","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2508","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2507","ARIC","ARIC"
"OD-2506","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2505","ARIC","ARIC"
"OD-2504","ARIC","ARIC"
"OD-2503","ARIC","ARIC"
"OD-2502","ARIC","ARIC"
"OD-2500","S-TEL","S-TEL"
"OD-2499","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2498","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2497","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2496","ALL","ALL"
"OD-2495","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2494","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2493","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2492","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2491","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2490","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2489","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2488","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2487","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2486","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2485","CILAGRI","CILAGRI"
"OD-2484","ALL","ALL"
"OD-2483","ALL","ALL"
"OD-2482","CILAGRI","CILAGRI"
"OD-2481","ONPOINT","ONPOINT"
"OD-2480","ONPOINT","ONPOINT"
"OD-2479","ONPOINT","ONPOINT"
"OD-2478","ONPOINT","ONPOINT"
"OD-2477","ONPOINT","ONPOINT"
"OD-2476","ONPOINT","ONPOINT"
"OD-2472","ONPOINT","ONPOINT"
"OD-2471","ONPOINT","ONPOINT"
"OD-2470","ONPOINT","ONPOINT"
"OD-2469","ONPOINT","ONPOINT"
"OD-2468","ONPOINT","ONPOINT"
"OD-2467","LABOGEM","LABOGEM"
"OD-2466","ALL","ALL"
"OD-2465","ALL","ALL"
"OD-2464","FIRST CAPITAL","FIRST CAPITAL"
"OD-2463","SIS","SIS"
"OD-2462","ECORIGINE","ECORIGINE"
"OD-2461","ECORIGINE","ECORIGINE"
"OD-2460","ECORIGINE","ECORIGINE"
"OD-2459","ECORIGINE","ECORIGINE"
"OD-2458","ECORIGINE","ECORIGINE"
"OD-2457","SIS","SIS"
"OD-2456","ECORIGINE","ECORIGINE"
"OD-2455","ECORIGINE","ECORIGINE"
"OD-2454","ECORIGINE","ECORIGINE"
"OD-2453","ECORIGINE","ECORIGINE"
"OD-2452","ECORIGINE","ECORIGINE"
"OD-2451","ECORIGINE","ECORIGINE"
"OD-2450","ECORIGINE","ECORIGINE"
"OD-2449","ECORIGINE","ECORIGINE"
"OD-2448","ECORIGINE","ECORIGINE"
"OD-2447","ONPOINT","ONPOINT"
"OD-2445","ALL","ALL"
"OD-2444","2AAZ","2AAZ"
"OD-2443","ALL","ALL"
"OD-2442","ALL","ALL"
"OD-2441","ALL","ALL"
"OD-2440","ALL","ALL"
"OD-2439","ALL","ALL"
"OD-2438","ALL","ALL"
"OD-2437","ARIC","ARIC"
"OD-2436","SIS","SIS"
"OD-2435","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2434","JOEL K PERFORMANCE","JOEL K PERFORMANCE"
"OD-2433","LABOGEM","LABOGEM"
"OD-2432","ONPOINT","ONPOINT"
"OD-2431","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2430","KORI TRANSPORT","KORI TRANSPORT"
"OD-2429","CILAGRI","CILAGRI"
"OD-2428","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2427","ECORIGINE","ECORIGINE"
